window_length,test_loss,test_accuracy
35,0.23028963804244995,0.9394012093544006
40,0.2546065151691437,0.9421774744987488
45,0.21118862926959991,0.9494417905807495
50,0.2869473695755005,0.9406556487083435
55,0.2614767551422119,0.9495118856430054
60,0.19422778487205505,0.9542198777198792
65,0.21975578367710114,0.9498088359832764
70,0.2378755807876587,0.9501837491989136
75,0.2575191557407379,0.9414673447608948
80,0.26319068670272827,0.9540534019470215
85,0.2587200701236725,0.9515783786773682
90,0.19621160626411438,0.9623457789421082
95,0.2242494374513626,0.950861930847168
100,0.2621033489704132,0.9390385150909424
